User,Target,RA0,Decl0,Cycles,ExposureTime,Exposures,Magnitude,Separation,Filter,WDS,Discoverer,PMag,SMag,B,Dmag,Period,DThe,G,First,Last,#,Plot,P Spectral,hhmmss.ss+ddmmss.s,Dcml RA,Dcml Dec,The22,The23,Rho22,Rho23,Drho,Ref,DDThe
Dixon,17584+0428,269.60192,4.46161,2,0.06,500,10.36,0.255,R,17584+0428,KUI 84AB,10.36,11.09,v,0.73,14.7,4.6,3,1934,2019,28,X,K8,175824.46+042741.8,269.60192,4.46161,349.4,354,0.249,0.255,0.006,Doc2018a,19.862
Dixon,01500-0408,27.50888,-4.12619,2,0.06,500,10.40,0.945,R,01500-0408,A 2602,10.40,10.40,v,0,1606.0,0.1,5,1913,2016,17,X,K2+K2,015002.13-040734.3,27.50888,-4.12619,182.0,182.1,0.927,0.945,0.018,Doc2016i,0.124
Dixon,01556+0146,28.89154,1.76581,2,0.06,500,10.44,0.737,R,01556+0146,BU 1367,10.44,10.71,v,0.27,882.6,0.7,5,1904,2016,25,X,K2,015533.97+014556.9,28.89154,1.76581,111.1,111.8,0.734,0.737,0.003,Izm2019,0.292
Dixon,17255+0030,261.37583,0.49944,2,0.06,500,10.50,0.31,R,17255+0030,RST5432,10.50,10.50,v,0,94.0,2.5,4,1946,2011,14,X,K0,172530.20+002958.0,261.37583,0.49944,157.7,155.2,0.304,0.31,0.006,Hrt2009,1.331
Dixon,11047-0413,166.17071,-4.22350,2,0.06,500,10.75,0.325,R,11047-0413,A 676BC,10.75,11.09,v,0.34,23.2,7.8,2,1829,2012,42,X,G5,110440.97-041324.6,166.17071,-4.22350,251.0,258.8,0.323,0.325,0.002,Doc2001e,7.697
Dixon,19194-0136,289.86042,-1.61603,2,0.06,500,10.97,0.201,R,19194-0136,"HDS2734Aa,Ab",10.97,11.37,v,0.4,36.8,20.7,3,1991,2020,14,X,M0,191926.50-013657.7,289.86042,-1.61603,98.4,119.1,0.161,0.201,0.04,Tok2019c,10.925
Dixon,17119-0151,257.96767,-1.85181,2,0.07,500,11.00,0.632,R,17119-0151,LPM 629,11.00,11.20,v,0.2,34.6,14.0,4,1948,2018,21,X,M,171152.24-015106.5,257.96767,-1.85181,348.3,2.3,0.636,0.632,-0.004,Doc2018l,3.595
Dixon,10121-0241,153.01950,-2.68475,2,0.07,500,11.00,0.205,R,10121-0241,DEL 3,11.00,12.00,v,1,7.6,4.8,3,1999,2020,32,X,M2.5,101204.68-024105.1,153.01950,-2.68475,258.8,254,0.15,0.205,0.055,Tok2018b,42.500
Dixon,13450+0206,206.26000,2.09211,2,0.07,500,11.27,0.711,R,13450+0206,HDS1935,11.27,12.48,v,1.21,200.0,1.6,4,1991,2019,10,X,K5,134502.40+020531.6,206.26000,2.09211,46.7,45.1,0.699,0.711,0.012,Tok2021c,0.200
Dixon,02402+0436,40.05929,4.59886,2,0.07,500,11.58,0.65,R,02402+0436,HDS 347,11.58,11.94,v,0.36,362.7,1.0,4,1991,2018,17,X,K7,024014.23+043555.9,40.05929,4.59886,148.1,149.1,0.641,0.65,0.009,Cve2020b,0.007
Dixon,21426+0233,325.64804,2.55542,2,0.07,500,11.75,0.294,R,21426+0233,HDS3092,11.75,13.26,v,1.51,300.0,2.3,4,1991,2020,11,X,K7,214235.53+023319.5,325.64804,2.55542,158.1,160.4,0.28,0.294,0.014,Tok2021c,1.100
Dixon,15440+0231,236.00896,2.51728,2,0.08,500,12.70,0.203,R,15440+0231,"RDR 6Ba,Bb",12.70,12.80,v,0.1,6.6,12.7,4,1910,2013,17,X,G3V+M,154402.15+023102.2,236.00896,2.51728,24.1,36.8,0.223,0.203,-0.02,Tok2021b,42.095
Dixon,10474+0236,161.85121,2.59222,2,0.08,500,12.91,0.534,R,10474+0236,HDS1542AB,12.91,13.20,v,0.29,121.7,1.3,5,1991,2018,9,X,M1,104724.29+023532.0,161.85121,2.59222,261.5,262.8,0.539,0.534,-0.005,Hor2020,1.658
